Date,Open,High,Low,Close,Adj Close,Volume
2018-08-01,4.684606,5.258231,4.541200,4.875814,4.875814,20185988
2018-09-01,4.875814,4.923617,3.967574,4.110981,4.110981,13481587
2018-10-01,4.110981,4.589002,3.585158,3.824168,3.824168,19504600
2018-11-01,3.871970,4.110981,3.776366,3.871970,3.871970,13142121
2018-12-01,3.919772,4.397793,3.537355,3.824168,3.824168,25077104
2019-01-01,3.871970,3.919772,3.441751,3.441751,3.441751,14244727
2019-02-01,3.393949,3.585158,2.485709,2.915928,2.915928,21960978
2019-03-01,2.915928,3.441751,2.868126,2.915928,2.915928,15924028
2019-04-01,2.915928,3.154939,2.772522,2.772522,2.772522,12976416
2019-05-01,2.772522,3.919772,2.390105,3.919772,3.919772,27095901
2019-06-01,4.302189,4.923617,3.154939,3.537355,3.537355,19097369
2019-07-01,3.537355,4.250000,2.850000,2.950000,2.950000,12756870
2019-08-01,2.950000,3.050000,2.350000,2.450000,2.450000,12845001
2019-09-01,2.450000,3.650000,2.350000,2.800000,2.800000,8117919
2019-10-01,2.800000,2.850000,2.450000,2.700000,2.700000,13317301
2019-11-01,2.650000,3.200000,2.550000,2.750000,2.750000,23392427
2019-12-01,2.850000,2.850000,2.200000,2.200000,2.200000,12421499
2020-01-01,2.250000,2.800000,2.200000,2.400000,2.400000,18433051
2020-02-01,2.350000,4.400000,2.200000,2.650000,2.650000,66583440
2020-03-01,2.700000,2.750000,1.800000,1.800000,1.800000,13280270
2020-04-01,1.850000,3.000000,1.800000,2.500000,2.500000,10915516
2020-05-01,2.500000,2.800000,2.100000,2.700000,2.700000,14516463
2020-06-01,2.750000,4.450000,2.700000,3.950000,3.950000,61887760
2020-07-01,3.950000,4.050000,3.300000,3.350000,3.350000,41493614
2020-08-01,3.350000,3.950000,3.250000,3.550000,3.550000,30791652
2020-09-01,3.500000,3.600000,2.750000,2.950000,2.950000,22369453
2020-10-01,2.900000,7.450000,2.700000,7.450000,7.450000,46180106
2020-11-01,7.800000,8.550000,5.550000,7.300000,7.300000,88879629
2020-12-01,7.300000,8.650000,6.650000,7.950000,7.950000,46111982
2021-01-01,8.050000,17.150000,7.600000,17.150000,17.150000,57462027
2021-02-01,18.000000,22.799999,14.250000,15.750000,15.750000,64413709
2021-03-01,16.350000,16.600000,12.600000,14.100000,14.100000,41955246
2021-04-01,14.450000,14.500000,10.450000,13.950000,13.950000,45049124
2021-05-01,13.800000,15.600000,12.300000,15.600000,15.600000,38587738
2021-06-01,16.350000,44.599998,16.350000,44.599998,44.599998,64361651
2021-07-01,46.799999,54.099998,32.750000,37.950001,37.950001,70890200
2021-08-01,39.799999,45.950001,33.049999,36.750000,36.750000,46389616
2021-09-01,36.750000,38.200001,33.299999,35.349998,35.349998,34213878
2021-10-01,35.849998,58.400002,35.299999,52.599998,52.599998,123471763
2021-11-01,55.150002,112.550003,53.700001,112.550003,112.550003,273688884
2021-12-01,118.150002,206.350006,118.150002,206.350006,206.350006,97035714
2022-01-01,216.649994,290.149994,149.199997,149.199997,149.199997,30729881
2022-02-01,141.750000,180.800003,106.400002,117.599998,117.599998,47538836
2022-03-01,117.599998,175.000000,90.500000,166.699997,166.699997,63385907
2022-04-01,175.000000,210.399994,139.699997,139.699997,139.699997,135345117
2022-05-01,134.250000,149.899994,111.500000,125.400002,125.400002,123106957
2022-06-01,125.800003,147.399994,102.599998,121.099998,121.099998,136881512
2022-07-01,121.400002,124.699997,105.199997,107.699997,107.699997,68318137
2022-08-01,108.000000,117.300003,88.199997,108.449997,108.449997,129124361
2022-09-01,111.949997,149.000000,101.000000,103.400002,103.400002,285215893
2022-10-01,104.000000,114.000000,99.000000,101.949997,101.949997,14637315
2022-11-01,102.000000,106.699997,97.000000,102.050003,102.050003,18957029
2022-12-01,102.050003,103.699997,78.849998,92.750000,92.750000,56025905
2023-01-01,92.849998,93.800003,73.000000,79.250000,79.250000,28573607
2023-02-01,80.849998,83.199997,52.099998,56.049999,56.049999,100503383
2023-03-01,56.799999,70.949997,49.650002,55.450001,55.450001,49113345
2023-04-01,54.950001,67.349998,53.599998,61.250000,61.250000,47701849
2023-05-01,61.250000,70.900002,60.200001,61.450001,61.450001,51200016
2023-06-01,61.650002,84.300003,61.450001,71.150002,71.150002,159415219
2023-07-01,71.500000,87.250000,70.699997,82.400002,82.400002,161327189
2023-07-26,83.000000,84.000000,82.000000,82.449997,82.449997,5453889
