Date,Open,High,Low,Close,Adj Close,Volume
2018-08-01,14.550000,21.700001,14.450000,18.250000,18.250000,2945177020
2018-09-01,18.200001,18.900000,11.200000,11.900000,11.900000,1562471186
2018-10-01,11.900000,12.550000,9.600000,12.350000,12.350000,1276760908
2018-11-01,12.500000,15.250000,12.450000,14.250000,14.250000,1128222580
2018-12-01,15.200000,18.650000,13.650000,14.400000,14.400000,2398761280
2019-01-01,14.500000,14.600000,10.900000,11.750000,11.750000,1375285467
2019-02-01,12.000000,12.100000,4.850000,6.500000,6.500000,2910455561
2019-03-01,6.550000,6.750000,3.950000,4.150000,4.150000,903977351
2019-04-01,3.950000,4.100000,1.850000,1.850000,1.850000,445999504
2019-05-01,1.850000,2.500000,1.850000,2.000000,2.000000,510186829
2019-06-01,2.050000,2.100000,1.200000,1.400000,1.400000,174523550
2019-07-01,1.350000,1.850000,1.300000,1.450000,1.450000,271866470
2019-08-01,1.400000,1.450000,0.850000,0.850000,0.850000,280667579
2019-09-01,0.850000,1.000000,0.650000,0.750000,0.750000,281409546
2019-10-01,0.750000,0.850000,0.650000,0.650000,0.650000,233168527
2019-11-01,0.700000,1.000000,0.500000,1.000000,1.000000,738125312
2019-12-01,1.050000,1.250000,0.800000,0.900000,0.900000,331049677
2020-01-01,0.900000,1.000000,0.750000,0.750000,0.750000,162701940
2020-02-01,0.750000,0.850000,0.650000,0.650000,0.650000,126127073
2020-03-01,0.700000,1.000000,0.600000,0.650000,0.650000,307944007
2020-04-01,0.650000,1.100000,0.650000,1.000000,1.000000,405411217
2020-05-01,1.000000,1.000000,0.750000,0.750000,0.750000,180232612
2020-06-01,0.800000,1.550000,0.700000,1.550000,1.550000,233510467
2020-07-01,1.600000,3.450000,1.600000,3.000000,3.000000,107138162
2020-08-01,2.850000,2.900000,2.150000,2.400000,2.400000,402536037
2020-09-01,2.300000,2.600000,1.800000,1.800000,1.800000,154767551
2020-10-01,1.750000,1.800000,1.350000,1.650000,1.650000,91884379
2020-11-01,1.600000,1.700000,1.400000,1.600000,1.600000,133420000
2020-12-01,1.650000,2.600000,1.550000,2.000000,2.000000,312215895
2021-01-01,2.000000,2.300000,1.750000,1.800000,1.800000,298456257
2021-02-01,1.850000,1.950000,1.650000,1.700000,1.700000,185040341
2021-03-01,1.750000,2.000000,1.650000,1.700000,1.700000,204599948
2021-04-01,1.700000,1.800000,1.500000,1.600000,1.600000,250704375
2021-05-01,1.600000,2.400000,1.550000,2.400000,2.400000,802102030
2021-06-01,2.500000,5.050000,2.450000,3.950000,3.950000,1295208816
2021-07-01,3.800000,4.300000,2.900000,3.150000,3.150000,1409696692
2021-08-01,3.300000,3.450000,2.350000,2.850000,2.850000,426694811
2021-09-01,2.850000,3.550000,2.750000,3.100000,3.100000,465446080
2021-10-01,3.050000,3.500000,2.800000,2.850000,2.850000,459270003
2021-11-01,2.900000,3.200000,2.700000,2.800000,2.800000,280317221
2021-12-01,2.800000,4.700000,2.750000,3.900000,3.900000,1403718057
2022-01-01,3.950000,4.400000,3.350000,3.600000,3.600000,363357724
2022-02-01,3.650000,3.700000,2.850000,2.950000,2.950000,104325822
2022-03-01,2.950000,3.200000,2.600000,2.650000,2.650000,120819127
2022-04-01,2.700000,3.200000,2.650000,2.750000,2.750000,193693964
2022-05-01,2.750000,2.900000,2.200000,2.550000,2.550000,119369924
2022-06-01,2.600000,2.600000,2.100000,2.250000,2.250000,50108032
2022-07-01,2.250000,2.250000,2.150000,2.200000,2.200000,46061041
2022-08-01,2.200000,2.850000,2.150000,2.850000,2.850000,84883394
2022-09-01,2.850000,2.850000,2.450000,2.450000,2.450000,5177019
2022-10-01,2.350000,2.350000,1.600000,1.950000,1.950000,65470750
2022-11-01,2.000000,2.500000,1.950000,2.200000,2.200000,15863997
2022-12-01,2.200000,2.200000,1.850000,1.850000,1.850000,9934308
2023-01-01,1.800000,2.350000,1.800000,2.050000,2.050000,100973946
2023-02-01,2.050000,2.050000,1.650000,1.750000,1.750000,54660188
2023-03-01,1.750000,1.850000,1.200000,1.250000,1.250000,70264724
2023-04-01,1.300000,1.500000,1.250000,1.400000,1.400000,6866280
2023-05-01,1.400000,1.400000,1.150000,1.150000,1.150000,6190685
2023-06-01,1.150000,1.350000,1.000000,1.100000,1.100000,135109912
2023-07-01,1.150000,1.400000,1.100000,1.250000,1.250000,64829469
2023-07-26,1.300000,1.300000,1.250000,1.250000,1.250000,1781684
