Date,Open,High,Low,Close,Adj Close,Volume
2018-08-01,33.314037,34.429531,29.424889,29.756521,29.756521,619884002
2018-09-01,30.419786,31.535278,21.917923,23.244455,23.244455,783636668
2018-10-01,23.365049,23.726830,19.626640,23.304752,23.304752,666251848
2018-11-01,23.455494,27.465239,21.164211,21.284805,21.284805,1023351971
2018-12-01,21.495846,23.425346,19.295008,22.762079,22.762079,694031476
2019-01-01,22.912823,22.973120,17.154469,18.149366,18.149366,681885727
2019-02-01,18.269960,19.867828,17.365507,18.028772,18.028772,788701095
2019-03-01,18.330257,21.284805,17.033875,18.250000,18.250000,1667546747
2019-04-01,18.250000,18.250000,14.900000,15.450000,15.450000,1316980804
2019-05-01,15.450000,17.150000,11.500000,13.950000,13.950000,3069304540
2019-06-01,13.950000,14.400000,11.100000,12.150000,12.150000,949892504
2019-07-01,12.100000,13.150000,6.000000,6.850000,6.850000,2299458472
2019-08-01,6.900000,6.950000,4.800000,5.350000,5.350000,2876285327
2019-09-01,5.350000,6.450000,4.800000,6.150000,6.150000,2178375317
2019-10-01,6.300000,6.900000,3.300000,3.900000,3.900000,4656500883
2019-11-01,3.850000,8.150000,2.400000,6.850000,6.850000,9104169034
2019-12-01,7.500000,8.800000,5.750000,6.150000,6.150000,6139745677
2020-01-01,6.200000,6.650000,3.650000,5.300000,5.300000,4452982092
2020-02-01,5.350000,5.550000,2.800000,3.850000,3.850000,7454353243
2020-03-01,3.900000,7.200000,2.700000,3.100000,3.100000,8193571360
2020-04-01,3.100000,4.900000,3.000000,4.200000,4.200000,6386111275
2020-05-01,4.200000,7.800000,3.900000,6.550000,6.550000,8346906090
2020-06-01,6.450000,12.600000,6.000000,10.600000,10.600000,14129090671
2020-07-01,10.400000,10.750000,7.000000,8.400000,8.400000,10180845928
2020-08-01,8.400000,11.100000,7.600000,10.200000,10.200000,5732583811
2020-09-01,10.800000,13.500000,7.650000,9.550000,9.550000,9470440155
2020-10-01,9.300000,9.500000,7.600000,8.750000,8.750000,4164156918
2020-11-01,8.800000,10.750000,8.350000,9.800000,9.800000,5111517447
2020-12-01,9.800000,10.900000,8.900000,10.650000,10.650000,6268277357
2021-01-01,10.750000,13.800000,10.600000,11.200000,11.200000,7248505548
2021-02-01,11.100000,13.050000,10.650000,11.300000,11.300000,5276128771
2021-03-01,11.400000,11.650000,8.800000,9.250000,9.250000,4562792334
2021-04-01,9.300000,10.150000,8.300000,8.350000,8.350000,2571583110
2021-05-01,8.300000,9.150000,8.050000,8.650000,8.650000,2359257395
2021-06-01,8.700000,10.950000,8.450000,9.950000,9.950000,5590296317
2021-07-01,9.000000,9.900000,7.900000,8.250000,8.250000,5712826101
2021-08-01,8.350000,8.550000,4.550000,6.100000,6.100000,6106192107
2021-09-01,6.050000,12.350000,6.000000,11.900000,11.900000,11357861848
2021-10-01,11.650000,12.250000,9.350000,9.550000,9.550000,5284956750
2021-11-01,9.550000,12.400000,9.500000,11.050000,11.050000,5236415113
2021-12-01,11.100000,16.799999,10.700000,15.350000,15.350000,9174911070
2022-01-01,15.350000,16.049999,10.500000,10.650000,10.650000,6504095179
2022-02-01,10.850000,11.950000,9.450000,10.300000,10.300000,4994351071
2022-03-01,10.300000,11.350000,9.350000,9.650000,9.650000,4154676069
2022-04-01,9.650000,11.550000,9.450000,9.500000,9.500000,3392921802
2022-05-01,9.450000,10.200000,8.150000,9.600000,9.600000,3087072737
2022-06-01,9.550000,9.650000,7.750000,8.400000,8.400000,2138855146
2022-07-01,8.350000,9.150000,8.200000,8.750000,8.750000,1419847113
2022-08-01,8.750000,9.550000,8.500000,9.050000,9.050000,2182079290
2022-09-01,8.950000,10.100000,8.400000,8.800000,8.800000,3142205973
2022-10-01,8.850000,9.200000,8.350000,8.550000,8.550000,1411522733
2022-11-01,8.600000,8.750000,7.950000,8.250000,8.250000,1472610832
2022-12-01,8.300000,8.950000,7.600000,7.900000,7.900000,2324938718
2023-01-01,7.900000,8.150000,6.300000,7.050000,7.050000,2211331980
2023-02-01,7.150000,8.600000,6.450000,6.800000,6.800000,2696553190
2023-03-01,6.850000,7.050000,5.700000,5.800000,5.800000,1539027283
2023-04-01,5.850000,7.100000,5.800000,6.950000,6.950000,1610580901
2023-05-01,6.950000,7.450000,6.550000,7.200000,7.200000,1824084193
2023-06-01,7.200000,8.250000,7.000000,7.450000,7.450000,2360828114
2023-07-01,7.500000,8.200000,7.150000,7.900000,7.900000,1736188692
2023-07-26,8.050000,9.050000,7.950000,8.750000,8.750000,432631400
