Date,Open,High,Low,Close,Adj Close,Volume
2018-08-01,16.150000,17.600000,14.800000,16.350000,16.350000,24662667
2018-09-01,16.250000,16.850000,13.400000,13.500000,13.500000,19602149
2018-10-01,13.550000,14.850000,12.200000,13.450000,13.450000,14036587
2018-11-01,13.500000,14.900000,12.600000,12.800000,12.800000,13346598
2018-12-01,12.900000,16.450001,11.850000,16.200001,16.200001,31018176
2019-01-01,16.600000,19.400000,13.400000,13.800000,13.800000,82994253
2019-02-01,13.900000,14.900000,11.750000,13.250000,13.250000,22589361
2019-03-01,13.900000,14.850000,11.900000,12.000000,12.000000,29714976
2019-04-01,12.150000,13.300000,11.700000,11.900000,11.900000,52868447
2019-05-01,11.900000,12.000000,8.100000,9.650000,9.650000,35107902
2019-06-01,9.700000,10.900000,7.250000,8.500000,8.500000,49329506
2019-07-01,8.700000,9.450000,6.050000,6.250000,6.250000,35730005
2019-08-01,6.200000,6.800000,4.450000,5.450000,5.450000,21737945
2019-09-01,5.450000,6.600000,5.250000,5.800000,5.800000,19102830
2019-10-01,5.900000,7.900000,5.000000,7.700000,7.700000,43428604
2019-11-01,8.050000,11.700000,7.800000,9.000000,9.000000,12384868
2019-12-01,9.250000,10.100000,7.500000,9.450000,9.450000,15371707
2020-01-01,9.450000,13.300000,9.300000,11.100000,11.100000,44635306
2020-02-01,11.150000,11.650000,8.300000,8.400000,8.400000,19793337
2020-03-01,8.500000,8.850000,5.550000,6.050000,6.050000,13877147
2020-04-01,6.000000,8.700000,5.900000,7.250000,7.250000,12625255
2020-05-01,7.250000,7.250000,6.650000,7.000000,7.000000,6521533
2020-06-01,7.250000,10.300000,7.050000,9.100000,9.100000,37617717
2020-07-01,9.050000,12.400000,8.650000,9.250000,9.250000,65927842
2020-08-01,9.450000,10.000000,8.950000,9.100000,9.100000,15487329
2020-09-01,9.300000,10.150000,7.900000,8.300000,8.300000,25660638
2020-10-01,8.350000,11.700000,7.500000,9.500000,9.500000,34422635
2020-11-01,9.450000,10.250000,9.050000,9.550000,9.550000,15966846
2020-12-01,9.600000,15.500000,9.550000,13.800000,13.800000,136411297
2021-01-01,13.900000,15.400000,11.600000,12.950000,12.950000,64900380
2021-02-01,12.900000,14.000000,11.850000,13.300000,13.300000,46198287
2021-03-01,13.400000,24.400000,13.350000,18.750000,18.750000,325776857
2021-04-01,18.900000,19.650000,14.600000,16.100000,16.100000,41568448
2021-05-01,16.000000,24.000000,15.850000,22.049999,22.049999,101853373
2021-06-01,21.549999,23.549999,20.299999,21.450001,21.450001,76702512
2021-07-01,21.400000,23.700001,20.650000,21.200001,21.200001,53501885
2021-08-01,21.299999,21.600000,17.200001,17.900000,17.900000,23468696
2021-09-01,17.950001,20.150000,17.799999,19.049999,19.049999,34493028
2021-10-01,18.900000,20.700001,17.600000,18.500000,18.500000,36972934
2021-11-01,18.799999,20.700001,17.650000,17.900000,17.900000,34972582
2021-12-01,18.100000,40.849998,17.950001,35.650002,35.650002,430946125
2022-01-01,36.000000,37.000000,27.000000,27.250000,27.250000,114716417
2022-02-01,27.549999,30.750000,20.850000,22.549999,22.549999,35886810
2022-03-01,22.549999,26.049999,21.650000,22.600000,22.600000,45330753
2022-04-01,22.700001,30.500000,22.549999,25.650000,25.650000,60314261
2022-05-01,25.350000,25.700001,20.049999,21.850000,21.850000,25449008
2022-06-01,22.000000,22.650000,16.650000,18.850000,18.850000,19865174
2022-07-01,18.700001,28.450001,18.700001,24.750000,24.750000,139309295
2022-08-01,25.100000,26.600000,22.700001,25.299999,25.299999,76424574
2022-09-01,25.100000,25.850000,20.500000,21.700001,21.700001,37901736
2022-10-01,21.850000,23.700001,20.549999,20.850000,20.850000,21053853
2022-11-01,21.000000,25.450001,20.700001,23.600000,23.600000,45705864
2022-12-01,23.799999,30.299999,21.750000,26.150000,26.150000,192651136
2023-01-01,26.400000,28.200001,22.500000,23.850000,23.850000,160184163
2023-02-01,24.150000,24.400000,19.250000,19.750000,19.750000,50552953
2023-03-01,19.850000,21.450001,16.600000,18.049999,18.049999,28420975
2023-04-01,18.150000,20.299999,18.150000,19.700001,19.700001,25712823
2023-05-01,19.700001,21.299999,18.150000,19.100000,19.100000,30685617
2023-06-01,19.250000,22.799999,19.150000,19.650000,19.650000,88113502
2023-07-01,19.600000,20.250000,18.950001,19.500000,19.500000,23788016
2023-07-26,19.500000,19.750000,19.400000,19.500000,19.500000,1188174
