Date,Forecasted Price,Alpha,Beta
2023-08-26,659.111680101805,0.039175055517336174,-3.707780883970868e-05
2023-09-26,668.1250346714464,0.039175055517336174,-3.707780883970868e-05
2023-10-26,676.7856116787376,0.039175055517336174,-3.707780883970868e-05
2023-11-26,685.1072186364682,0.039175055517336174,-3.707780883970868e-05
2023-12-26,693.1031226392444,0.039175055517336174,-3.707780883970868e-05
2024-01-26,700.7860715151484,0.039175055517336174,-3.707780883970868e-05
2024-02-26,708.1683141495347,0.039175055517336174,-3.707780883970868e-05
2024-03-26,715.2616200133641,0.039175055517336174,-3.707780883970868e-05
2024-04-26,722.0772979272098,0.039175055517336174,-3.707780883970868e-05
2024-05-26,728.626214090851,0.039175055517336174,-3.707780883970868e-05
2024-06-26,734.918809407199,0.039175055517336174,-3.707780883970868e-05
2024-07-26,740.9651161281737,0.039175055517336174,-3.707780883970868e-05
2024-08-26,746.7747738490712,0.039175055517336174,-3.707780883970868e-05
2024-09-26,752.3570448769198,0.039175055517336174,-3.707780883970868e-05
2024-10-26,757.7208289973282,0.039175055517336174,-3.707780883970868e-05
2024-11-26,762.8746776633672,0.039175055517336174,-3.707780883970868e-05
2024-12-26,767.8268076291066,0.039175055517336174,-3.707780883970868e-05
2025-01-26,772.5851140495437,0.039175055517336174,-3.707780883970868e-05
2025-02-26,777.1571830678074,0.039175055517336174,-3.707780883970868e-05
2025-03-26,781.5503039097072,0.039175055517336174,-3.707780883970868e-05
2025-04-26,785.7714805049071,0.039175055517336174,-3.707780883970868e-05
2025-05-26,789.8274426532549,0.039175055517336174,-3.707780883970868e-05
2025-06-26,793.7246567540669,0.039175055517336174,-3.707780883970868e-05
2025-07-26,797.4693361154743,0.039175055517336174,-3.707780883970868e-05
