Date,Forecasted Price,Alpha,Beta
2023-08-26,20.532761869018636,0.12110798298922985,-0.006331757639322042
2023-09-26,20.413433410944922,0.12110798298922985,-0.006331757639322042
2023-10-26,20.30789252707724,0.12110798298922985,-0.006331757639322042
2023-11-26,20.21454615901564,0.12110798298922985,-0.006331757639322042
2023-12-26,20.13198531518932,0.12110798298922985,-0.006331757639322042
2024-01-26,20.058963803213445,0.12110798298922985,-0.006331757639322042
2024-02-26,19.9943794195744,0.12110798298922985,-0.006331757639322042
2024-03-26,19.93725731271617,0.12110798298922985,-0.006331757639322042
2024-04-26,19.88673526840652,0.12110798298922985,-0.006331757639322042
2024-05-26,19.842050695276875,0.12110798298922985,-0.006331757639322042
2024-06-26,19.80252911409261,0.12110798298922985,-0.006331757639322042
2024-07-26,19.767573977008222,0.12110798298922985,-0.006331757639322042
2024-08-26,19.73665766313678,0.12110798298922985,-0.006331757639322042
2024-09-26,19.709313514518787,0.12110798298922985,-0.006331757639322042
2024-10-26,19.685128792279524,0.12110798298922985,-0.006331757639322042
2024-11-26,19.663738446653426,0.12110798298922985,-0.006331757639322042
2024-12-26,19.644819606838876,0.12110798298922985,-0.006331757639322042
2025-01-26,19.628086707512,0.12110798298922985,-0.006331757639322042
2025-02-26,19.61328717843792,0.12110798298922985,-0.006331757639322042
2025-03-26,19.600197632117464,0.12110798298922985,-0.006331757639322042
2025-04-26,19.58862049192485,0.12110798298922985,-0.006331757639322042
2025-05-26,19.578381009840587,0.12110798298922985,-0.006331757639322042
2025-06-26,19.569324628764644,0.12110798298922985,-0.006331757639322042
2025-07-26,19.561314649595992,0.12110798298922985,-0.006331757639322042
