Date,Forecasted Price,Alpha,Beta
2023-08-26,80.4386700159632,0.15085579048429595,-0.0011506118094674078
2023-09-26,80.74012520048777,0.15085579048429595,-0.0011506118094674078
2023-10-26,80.99639865722865,0.15085579048429595,-0.0011506118094674078
2023-11-26,81.21426216730063,0.15085579048429595,-0.0011506118094674078
2023-12-26,81.399472565695,0.15085579048429595,-0.0011506118094674078
2024-01-26,81.55692386014111,0.15085579048429595,-0.0011506118094674078
2024-02-26,81.6907765505822,0.15085579048429595,-0.0011506118094674078
2024-03-26,81.80456756640933,0.15085579048429595,-0.0011506118094674078
2024-04-26,81.90130372643944,0.15085579048429595,-0.0011506118094674078
2024-05-26,81.98354119122828,0.15085579048429595,-0.0011506118094674078
2024-06-26,82.05345300716962,0.15085579048429595,-0.0011506118094674078
2024-07-26,82.11288652716888,0.15085579048429595,-0.0011506118094674078
2024-08-26,82.16341222517772,0.15085579048429595,-0.0011506118094674078
2024-09-26,82.20636519446697,0.15085579048429595,-0.0011506118094674078
2024-10-26,82.24288042619007,0.15085579048429595,-0.0011506118094674078
2024-11-26,82.27392280043927,0.15085579048429595,-0.0011506118094674078
2024-12-26,82.30031258227974,0.15085579048429595,-0.0011506118094674078
2025-01-26,82.32274709646984,0.15085579048429595,-0.0011506118094674078
2025-02-26,82.34181915360121,0.15085579048429595,-0.0011506118094674078
2025-03-26,82.35803271455198,0.15085579048429595,-0.0011506118094674078
2025-04-26,82.37181620717125,0.15085579048429595,-0.0011506118094674078
2025-05-26,82.38353384707541,0.15085579048429595,-0.0011506118094674078
2025-06-26,82.3934952616977,0.15085579048429595,-0.0011506118094674078
2025-07-26,82.40196367189706,0.15085579048429595,-0.0011506118094674078
